sessions,timestamp,status
1,1765634375.340749,start
1,1765634376.9211996,records_sent
11,1765634377.1038506,start
1,1765634382.740009,labels_received
2,1765634382.9760137,labels_received
3,1765634388.537259,labels_received
4,1765634393.5066752,labels_received
11,1765634394.7533581,records_sent
21,1765634395.167502,start
5,1765634425.6742413,labels_received
6,1765634430.6101465,labels_received
7,1765634434.6488118,labels_received
21,1765634438.1871877,records_sent
31,1765634438.7515395,start
8,1765634456.1572523,labels_received
9,1765634470.4490652,labels_received
10,1765634477.604203,labels_received
31,1765634485.7725692,records_sent
41,1765634486.5613503,start
11,1765634514.981341,labels_received
12,1765634533.4538891,labels_received
13,1765634547.050011,labels_received
41,1765634553.6117253,records_sent
51,1765634554.4070761,start
14,1765634562.027023,labels_received
15,1765634624.037307,labels_received
16,1765634638.4513214,labels_received
17,1765634653.114001,labels_received
51,1765634656.932555,records_sent
61,1765634657.9948447,start
18,1765634731.1109455,labels_received
19,1765634751.0938547,labels_received
20,1765634763.051168,labels_received
61,1765634765.871477,records_sent
71,1765634767.2147577,start
21,1765634832.181246,labels_received
22,1765634870.6723216,labels_received
23,1765634902.225781,labels_received
71,1765634910.9171183,records_sent
81,1765634912.8795109,start
24,1765634961.0187507,labels_received
